Year,AuthorAvailable,FullYear,n
2013,Author mentioned,1,1037
2013,Author not mentioned,1,1716
2014,Author mentioned,1,1718
2014,Author not mentioned,1,1588
2015,Author mentioned,1,1926
2015,Author not mentioned,1,1450
2016,Author mentioned,1,2095
2016,Author not mentioned,1,1268
2017,Author mentioned,1,3361
2017,Author not mentioned,1,1255
2018,Author mentioned,0.5,1329
2018,Author not mentioned,0.5,85
